"date","count"
"03/08/2018","8"
"10/08/2018","10"
"17/08/2018","12"
"24/08/2018","11"
"31/08/2018","9"
"07/09/2018","9"
"14/09/2018","12"
"21/09/2018","13"
"28/09/2018","15"
"05/10/2018","15"
"12/10/2018","15"
"19/10/2018","15"
"26/10/2018","15"
"02/11/2018","15"
"09/11/2018","15"
"16/11/2018","12"
"16/11/2018","11"
"16/11/2018","11"
"16/11/2018","10"
"16/11/2018","10"
